metodo,robot,modo,tolerancia,n_conv,n_noconv,U_stat,p_value_raw,estado,p_value_holm,reject_H0_holm_0.05
PSO,antro,easy,e2,498,2,,,datos_insuficientes,,
PSO,antro,easy,e3,478,22,5765.0,0.4446234114453509,ok,1.0,False
PSO,antro,hard,e2,486,14,4092.0,0.19577905004162632,ok,1.0,False
PSO,antro,hard,e3,462,38,9581.0,0.3485760748701472,ok,1.0,False
PSO,Standford,easy,e2,217,283,51345.0,5.155219955459416e-38,ok,1.2372527893102598e-36,True
PSO,Standford,easy,e3,104,396,34825.0,1.9094353028150227e-27,ok,4.3917011964745525e-26,True
PSO,Standford,hard,e2,278,222,31126.0,0.8676480633011041,ok,1.0,False
PSO,Standford,hard,e3,80,420,10624.0,1.8477292782324234e-07,ok,2.771593917348635e-06,True
PSO,DLR,easy,e2,236,264,44366.0,2.5524564406822437e-16,ok,5.104912881364487e-15,True
PSO,DLR,easy,e3,139,361,36361.0,6.8589424642600916e-15,ok,1.3031990682094174e-13,True
PSO,DLR,hard,e2,159,341,24828.0,0.12949985288994045,ok,0.9064989702295831,False
PSO,DLR,hard,e3,33,467,9019.0,0.10165221092108656,ok,0.8132176873686925,False
QPSO,antro,easy,e2,500,0,,,datos_insuficientes,,
QPSO,antro,easy,e3,500,0,,,datos_insuficientes,,
QPSO,antro,hard,e2,500,0,,,datos_insuficientes,,
QPSO,antro,hard,e3,498,2,,,datos_insuficientes,,
QPSO,Standford,easy,e2,197,303,51914.0,2.0901204608094222e-44,ok,5.225301152023555e-43,True
QPSO,Standford,easy,e3,36,464,14579.0,8.919324569694093e-14,ok,1.5826313695279146e-12,True
QPSO,Standford,hard,e2,293,207,28985.0,0.3997385924452902,ok,1.0,False
QPSO,Standford,hard,e3,79,421,9082.0,1.5077131890733962e-10,ok,2.412341102517434e-09,True
QPSO,DLR,easy,e2,382,118,35885.0,2.268984442673945e-22,ok,4.764867329615285e-21,True
QPSO,DLR,easy,e3,199,301,45649.0,3.165108450105941e-23,ok,6.96323859023307e-22,True
QPSO,DLR,hard,e2,188,312,23326.0,0.00012551927750978427,ok,0.0011296734975880583,True
QPSO,DLR,hard,e3,27,473,5398.0,0.17647514341584136,ok,1.0,False
SVD,antro,easy,e2,487,13,5704.0,7.949960832287521e-07,ok,9.539952998745026e-06,True
SVD,antro,easy,e3,487,13,5704.0,7.949960832287521e-07,ok,9.539952998745026e-06,True
SVD,antro,hard,e2,491,9,0.0,2.7057407401205156e-07,ok,3.788037036168722e-06,True
SVD,antro,hard,e3,491,9,0.0,2.7057407401205156e-07,ok,3.788037036168722e-06,True
SVD,Standford,easy,e2,260,240,62391.0,3.360736478704483e-83,ok,1.0754356731854346e-81,True
SVD,Standford,easy,e3,257,243,62253.0,2.768896607688033e-82,ok,8.583579483832902e-81,True
SVD,Standford,hard,e2,313,187,54065.0,1.124782920731191e-56,ok,2.9244355939010964e-55,True
SVD,Standford,hard,e3,139,361,31058.0,3.73565320881127e-05,ok,0.00037356532088112697,True
SVD,DLR,easy,e2,500,0,,,datos_insuficientes,,
SVD,DLR,easy,e3,500,0,,,datos_insuficientes,,
SVD,DLR,hard,e2,500,0,,,datos_insuficientes,,
SVD,DLR,hard,e3,492,8,3913.0,8.792396497377303e-14,ok,1.5826313695279146e-12,True
HYBRID,antro,easy,e2,500,0,,,datos_insuficientes,,
HYBRID,antro,easy,e3,500,0,,,datos_insuficientes,,
HYBRID,antro,hard,e2,500,0,,,datos_insuficientes,,
HYBRID,antro,hard,e3,500,0,,,datos_insuficientes,,
HYBRID,Standford,easy,e2,347,153,53091.0,4.156450603793123e-71,ok,1.2469351811379368e-69,True
HYBRID,Standford,easy,e3,346,154,52824.0,5.575997440426241e-69,ok,1.61703925772361e-67,True
HYBRID,Standford,hard,e2,350,150,49921.0,1.5443187828920958e-57,ok,4.169660713808659e-56,True
HYBRID,Standford,hard,e3,320,180,54719.0,1.0431624408503135e-62,ok,2.9208548343808776e-61,True
HYBRID,DLR,easy,e2,500,0,,,datos_insuficientes,,
HYBRID,DLR,easy,e3,500,0,,,datos_insuficientes,,
HYBRID,DLR,hard,e2,500,0,,,datos_insuficientes,,
HYBRID,DLR,hard,e3,500,0,,,datos_insuficientes,,
