metodo,robot,modo,tolerancia,n,n_conv,tasa_conv_pct,ci95_low_pct,ci95_high_pct
HYBRID,DLR,easy,e2,500,500,100.0,99.23756595384478,100.0
HYBRID,DLR,easy,e3,500,500,100.0,99.23756595384478,100.0
HYBRID,DLR,hard,e2,500,500,100.0,99.23756595384478,100.0
HYBRID,DLR,hard,e3,500,500,100.0,99.23756595384478,100.0
HYBRID,Standford,easy,e2,500,347,69.4,65.2255219632054,73.27865362688635
HYBRID,Standford,easy,e3,500,346,69.2,65.01980013173227,73.08742519454412
HYBRID,Standford,hard,e2,500,350,70.0,65.84321959560772,73.85180678593018
HYBRID,Standford,hard,e3,500,320,64.0,59.7006617075836,68.08585675949294
HYBRID,antro,easy,e2,500,500,100.0,99.23756595384478,100.0
HYBRID,antro,easy,e3,500,500,100.0,99.23756595384478,100.0
HYBRID,antro,hard,e2,500,500,100.0,99.23756595384478,100.0
HYBRID,antro,hard,e3,500,500,100.0,99.23756595384478,100.0
PSO,DLR,easy,e2,500,236,47.2,42.86227347300628,51.58042283357841
PSO,DLR,easy,e3,500,139,27.8,24.05366075286252,31.88485996363041
PSO,DLR,hard,e2,500,159,31.8,27.870026117642176,36.00749987515833
PSO,DLR,hard,e3,500,33,6.6,4.7378526359773865,9.12394011608535
PSO,Standford,easy,e2,500,217,43.4,39.12235726331776,47.778284030774735
PSO,Standford,easy,e3,500,104,20.8,17.471631170962926,24.573630311991725
PSO,Standford,hard,e2,500,278,55.6,51.218689304972585,59.89591808185805
PSO,Standford,hard,e3,500,80,16.0,13.047637235016406,19.47081791636915
PSO,antro,easy,e2,500,498,99.6,98.5534284784823,99.89023694773172
PSO,antro,easy,e3,500,478,95.6,93.42805571276716,97.07660443713928
PSO,antro,hard,e2,500,486,97.2,95.35535973250511,98.32490252792437
PSO,antro,hard,e3,500,462,92.4,89.74035863260316,94.41309729625723
QPSO,DLR,easy,e2,500,382,76.4,72.48556437078592,79.91187045284411
QPSO,DLR,easy,e3,500,199,39.8,35.602997790389445,44.152538755026235
QPSO,DLR,hard,e2,500,188,37.6,33.46400158192325,41.92508206152326
QPSO,DLR,hard,e3,500,27,5.4,3.7374350181057516,7.74265615106471
QPSO,Standford,easy,e2,500,197,39.4,35.21341694850665,43.74821906927827
QPSO,Standford,easy,e3,500,36,7.2,5.245803141812619,9.806840401696254
QPSO,Standford,hard,e2,500,293,58.6,54.23312223504143,62.83573910901986
QPSO,Standford,hard,e3,500,79,15.8,12.865269786443548,19.256235101126627
QPSO,antro,easy,e2,500,500,100.0,99.23756595384478,100.0
QPSO,antro,easy,e3,500,500,100.0,99.23756595384478,100.0
QPSO,antro,hard,e2,500,500,100.0,99.23756595384478,100.0
QPSO,antro,hard,e3,500,498,99.6,98.5534284784823,99.89023694773172
SVD,DLR,easy,e2,500,500,100.0,99.23756595384478,100.0
SVD,DLR,easy,e3,500,500,100.0,99.23756595384478,100.0
SVD,DLR,hard,e2,500,500,100.0,99.23756595384478,100.0
SVD,DLR,hard,e3,500,492,98.4,96.87488914666058,99.18707469666117
SVD,Standford,easy,e2,500,260,52.0,47.62234529552701,56.34715734262677
SVD,Standford,easy,e3,500,257,51.4,47.025151158007205,55.75350068870044
SVD,Standford,hard,e2,500,313,62.6,58.27786661985682,66.73000000051206
SVD,Standford,hard,e3,500,139,27.8,24.05366075286252,31.88485996363041
SVD,antro,easy,e2,500,487,97.4,95.60285091657758,98.47436160766728
SVD,antro,easy,e3,500,487,97.4,95.60285091657758,98.47436160766728
SVD,antro,hard,e2,500,491,98.2,96.61483290912606,99.0501806703803
SVD,antro,hard,e3,500,491,98.2,96.61483290912606,99.0501806703803
