robot,modo,tolerancia,fase_final,n,total,pct
DLR,easy,e2,QPSO,16,500,3.2
DLR,easy,e2,SVD,467,500,93.4
DLR,easy,e2,SVD2,17,500,3.4
DLR,easy,e3,SVD,467,500,93.4
DLR,easy,e3,SVD2,33,500,6.6
DLR,hard,e2,QPSO,11,500,2.2
DLR,hard,e2,SVD,454,500,90.8
DLR,hard,e2,SVD2,35,500,7.0
DLR,hard,e3,QPSO,2,500,0.4
DLR,hard,e3,SVD,433,500,86.6
DLR,hard,e3,SVD2,65,500,13.0
Standford,easy,e2,QPSO,18,500,3.6
Standford,easy,e2,SVD,233,500,46.6
Standford,easy,e2,SVD2,96,500,19.2
Standford,easy,e2,SVD2_falla,153,500,30.6
Standford,easy,e3,QPSO,1,500,0.2
Standford,easy,e3,SVD,230,500,46.0
Standford,easy,e3,SVD2,115,500,23.0
Standford,easy,e3,SVD2_falla,152,500,30.4
Standford,easy,e3,SVD_falla,2,500,0.4
Standford,hard,e2,QPSO,16,500,3.2
Standford,hard,e2,SVD,311,500,62.2
Standford,hard,e2,SVD2,23,500,4.6
Standford,hard,e2,SVD2_falla,147,500,29.4
Standford,hard,e2,SVD_falla,3,500,0.6
Standford,hard,e3,SVD,128,500,25.6
Standford,hard,e3,SVD2,192,500,38.4
Standford,hard,e3,SVD2_falla,173,500,34.6
Standford,hard,e3,SVD_falla,7,500,1.4
antro,easy,e2,QPSO,13,500,2.6
antro,easy,e2,SVD,486,500,97.2
antro,easy,e2,SVD2,1,500,0.2
antro,easy,e3,QPSO,13,500,2.6
antro,easy,e3,SVD,486,500,97.2
antro,easy,e3,SVD2,1,500,0.2
antro,hard,e2,QPSO,9,500,1.8
antro,hard,e2,SVD,477,500,95.4
antro,hard,e2,SVD2,14,500,2.8
antro,hard,e3,QPSO,6,500,1.2
antro,hard,e3,SVD,477,500,95.4
antro,hard,e3,SVD2,17,500,3.4
