tolerancia,metodo_A,metodo_B,statistic,p_value_raw,n_solo_A_convergio,n_solo_B_convergio,n_ambos_convergieron,n_ninguno_convergio,p_value_holm,reject_H0_holm_0.05
e2,PSO,QPSO,36.96004319654428,1.205750140897163e-09,370,556,1504,570,1.205750140897163e-09,True
e2,PSO,SVD,413.5529411764706,6.176613980005686e-92,214,891,1660,235,2.4706455920022745e-91,True
e2,PSO,HYBRID,619.3253895508708,1.0482927865437477e-136,134,957,1740,169,6.289756719262486e-136,True
e2,QPSO,SVD,269.47250280583614,1.478684005562788e-60,200,691,1860,249,4.436052016688364e-60,True
e2,QPSO,HYBRID,460.17747440273035,4.398147472303614e-102,121,758,1939,182,2.199073736151807e-101,True
e2,SVD,HYBRID,138.32236842105263,6.195670066309188e-32,3,149,2548,300,1.2391340132618376e-31,True
e3,PSO,QPSO,3.111111111111111,0.0777598964393294,262,305,1034,1399,0.0777598964393294,False
e3,PSO,SVD,892.78203125,3.638541962773017e-196,105,1175,1191,529,1.4554167851092068e-195,True
e3,PSO,HYBRID,1292.5248275862068,4.76085643427582e-283,40,1410,1256,294,2.856513860565492e-282,True
e3,QPSO,SVD,879.4285714285714,2.909775180007441e-193,85,1112,1254,549,8.729325540022323e-193,True
e3,QPSO,HYBRID,1267.6827685652488,1.1920027459150947e-277,30,1357,1309,304,5.960013729575473e-277,True
e3,SVD,HYBRID,292.16013071895424,1.6822452093544785e-65,3,303,2363,331,3.364490418708957e-65,True
