metodo,robot,modo,tolerancia,mediana_s,q1_s,q3_s,n,IQR_s
HYBRID,DLR,easy,e2,0.00177344999974585,0.001246600033482525,0.002903324988437775,500,0.00165672495495525
HYBRID,DLR,easy,e3,0.0017996999667956501,0.0012311500613577,0.0028355749964248,500,0.0016044249350670998
HYBRID,DLR,hard,e2,0.00225805002264675,0.0013837999722454,0.003601050033466825,500,0.002217250061221425
HYBRID,DLR,hard,e3,0.0030639499891549,0.001843949983594875,0.005473749974043976,500,0.0036297999904491007
HYBRID,Standford,easy,e2,0.01678320002974935,0.0043197249760851,0.10131622492917808,500,0.09699649995309298
HYBRID,Standford,easy,e3,0.02148865000344805,0.00760569996782575,0.10826435001217757,500,0.10065865004435183
HYBRID,Standford,hard,e2,0.013069700042251449,0.00211277502239675,0.10107362503185865,500,0.0989608500094619
HYBRID,Standford,hard,e3,0.06911174993729215,0.012504425045335601,0.10857187502551818,500,0.09606744998018259
HYBRID,antro,easy,e2,0.0006510999519377,0.00053115008631715,0.0008867500000633,499,0.00035559991374615
HYBRID,antro,easy,e3,0.0007291999645531,0.0006109999958425,0.00097034999635065,499,0.00035935000050815
HYBRID,antro,hard,e2,0.0007375000277534,0.0005028499872422999,0.0011248500086366501,499,0.0006220000213943502
HYBRID,antro,hard,e3,0.0008998000994324,0.0006385000306181,0.0013254000223241,499,0.000686899991706
PSO,DLR,easy,e2,0.17343050008639688,0.03321520006284112,0.18762317515211177,500,0.15440797508927065
PSO,DLR,easy,e3,0.19514110009185964,0.13786557497223834,0.2054463748936541,500,0.06758079992141577
PSO,DLR,hard,e2,0.1790440500481054,0.05540429992834098,0.18889920011861244,500,0.13349490019027146
PSO,DLR,hard,e3,0.19824524992145595,0.19297992502106354,0.20561127510154614,500,0.012631350080482606
PSO,Standford,easy,e2,0.165977600030601,0.026182925037574002,0.170923825004138,500,0.144740899966564
PSO,Standford,easy,e3,0.18903425009921188,0.17993487493367866,0.20178517501335586,500,0.0218503000796772
PSO,Standford,hard,e2,0.08941849996335804,0.01455820002593095,0.18083199980901551,500,0.16627379978308457
PSO,Standford,hard,e3,0.1960203499766066,0.1879393249982968,0.2060234998352825,500,0.01808417483698571
PSO,antro,easy,e2,0.002745849895291,0.00228824990335845,0.00351924996357405,500,0.0012310000602155998
PSO,antro,easy,e3,0.004500099923461599,0.003876774979289575,0.005997199972625775,500,0.0021204249933362
PSO,antro,hard,e2,0.00317280006129285,0.0026816498721017497,0.004223675059620225,500,0.0015420251875184754
PSO,antro,hard,e3,0.00519425002858035,0.004393350158352375,0.00685522489948195,500,0.0024618747411295746
QPSO,DLR,easy,e2,0.0438668999122455,0.024246274959295898,0.13718595000682396,500,0.11293967504752805
QPSO,DLR,easy,e3,0.18636844994034615,0.12045317498268553,0.19278592494083566,500,0.07233274995815013
QPSO,DLR,hard,e2,0.20900249993428585,0.06411657499847928,0.21275777509436009,500,0.1486412000958808
QPSO,DLR,hard,e3,0.20590455003548408,0.20432682492537418,0.20818737510126079,500,0.003860550175886601
QPSO,Standford,easy,e2,0.19598644995130593,0.038415474991779726,0.20053260005079207,500,0.16211712505901235
QPSO,Standford,easy,e3,0.188694049953483,0.18580164999002588,0.19276560004800553,500,0.006963950057979645
QPSO,Standford,hard,e2,0.0540966499829664,0.0182500750524923,0.20758322486653924,500,0.18933314981404695
QPSO,Standford,hard,e3,0.1883753999136388,0.18417284992756316,0.1932805748656392,500,0.009107724938076045
QPSO,antro,easy,e2,0.007624950027093199,0.00615332490997385,0.0101439749123528,500,0.00399065000237895
QPSO,antro,easy,e3,0.01145550014916805,0.009351150074508024,0.01516847498714915,500,0.005817324912641126
QPSO,antro,hard,e2,0.008137899916619,0.005357150046620475,0.013513949990738175,500,0.0081567999441177
QPSO,antro,hard,e3,0.01261220010928805,0.009724850067868801,0.020269200089387523,500,0.010544350021518722
SVD,DLR,easy,e2,0.0013859000755473499,0.0009649000130593,0.002513699873816175,500,0.001548799860756875
SVD,DLR,easy,e3,0.0015348000451922,0.001102799957152425,0.002556224935688,500,0.0014534249785355749
SVD,DLR,hard,e2,0.0015895500546321,0.0010886499658226,0.003130149911157725,500,0.002041499945335125
SVD,DLR,hard,e3,0.00286124995909625,0.0017462498508393,0.0048771749716252,500,0.0031309251207859
SVD,Standford,easy,e2,0.04476465005427595,0.004258850007317875,0.0912354750325903,500,0.08697662502527242
SVD,Standford,easy,e3,0.05364964995533225,0.0069153499207459,0.09286665002582592,500,0.08595130010508002
SVD,Standford,hard,e2,0.012441450031474201,0.00202187505783505,0.09147779992781578,500,0.08945592486998073
SVD,Standford,hard,e3,0.09224765002727506,0.0246057250187732,0.09307669993722807,500,0.06847097491845487
SVD,antro,easy,e2,0.0006508999504148,0.0005229999078437,0.0009022001177072,499,0.00037920020986350006
SVD,antro,easy,e3,0.0007029001135379,0.0005854999180883,0.0008880000095814,499,0.0003025000914931
SVD,antro,hard,e2,0.0007525000255554,0.00047610013280055,0.00117230007890605,499,0.0006961999461054999
SVD,antro,hard,e3,0.0008294999133795,0.00059720000717785,0.00125995010603215,499,0.0006627500988543
