converged,pos_err,ori_err,n_iters,time_s,mu,kappa,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6
0,0.40445743537695483,0.06092453696562955,1000,0.10636039986275136,1.92728736520984e-17,6.803965351759387e-18,2.728156675767682,0.7619720162807897,0.0,1.0892560028605347,1.7339998089625848,2.2573879807403405
1,0.008825210284117998,0.0026608538576635065,26,0.003322499804198742,0.6633996578567133,0.17304326972896564,0.8287972681389784,2.033718165281292,0.8690746174981896,2.2720676510988587,1.7626393310882473,1.1342888349966627
1,0.009877984526808766,0.004687881366587306,34,0.004113100003451109,0.3638307373462276,0.07745318729064313,2.363880986557994,1.1632110384574554,0.7482107365553704,0.4382830847869599,0.7865177052807644,0.5651407842875802
0,0.7310507974811176,0.159345825880577,1000,0.1050828997977078,2.006166582718138e-17,1.1135518352541262e-17,2.2162983829537355,1.0189827685645634,0.0,0.4961646959097092,0.42740211403913225,0.420597654212624
0,0.38685873188227016,0.03106338496358287,1000,0.10609379992820323,1.0258104434839592e-16,2.6343623959927274e-17,2.2587918860824416,0.42435183527418596,0.0,2.962110805665647,2.489643278753219,1.1783924518631237
0,0.5026215475815363,0.17364836356973629,1000,0.10555940004996955,1.1403185144624237e-17,1.5225170073064455e-17,2.669385166506215,1.3093998264932274,0.0,0.7500286010521622,3.0172750266419825,1.0275201427312846
0,0.7786257481520876,0.09801457619340419,1000,0.10512259998358786,1.2842839977784986e-17,5.5885952588447586e-18,0.9698562325649251,0.4088169438515333,0.0,0.1994856854498801,1.8448284452213928,0.5128820439894293
1,0.009870677306299537,0.007051279437499295,109,0.011969200102612376,0.4514285092630532,0.06612396903194133,2.6186201116221213,1.0791411242906763,0.8615602794240315,2.2710359715451878,0.7613141184943695,0.8842340400181774
0,0.17063050836789745,0.06843747773828464,1000,0.09716400015167892,2.080655032287304e-17,2.038268828202238e-17,1.3386170814941716,1.8749645916774265,0.0,0.007617818110954301,0.5627115058563392,0.07023127962829269
0,0.07161226416348396,0.01976541298926642,1000,0.10607089987024665,2.168683064755504e-17,5.782432818123468e-18,2.829385122960769,0.411988015208427,0.0,0.48937499867190404,2.522333898793361,0.9369841796266378
0,0.08374736813088973,0.03699651150023923,1000,0.0960033000446856,5.074386135010292e-18,2.0821092677616497e-17,0.37619716327772945,1.5103730295701006,0.0,0.6015980045618958,0.5217974486157999,0.4524674418798442
1,0.009239840970673456,0.007184805065781594,15,0.0016589998267591,0.5065762701246297,0.07699039630403706,1.1114685625969458,1.4974888795393415,0.9082395940086178,0.8575673125408683,0.6633510494610944,2.9570314017714363
1,0.008177782539473112,0.004484904201072499,35,0.00369199994020164,0.796574058562238,0.16997006413119772,2.2718571714732105,1.8323445744221942,0.9201630297422203,0.2056331688621036,1.341914614479741,0.12502522225968038
0,0.3532603336803346,0.08226876400195655,1000,0.10328629985451698,1.52296024171143e-17,4.365002047830428e-18,1.312557285055025,0.16783121633194753,0.0,0.9316590692667459,1.9282683511292085,0.4022893544837798
1,0.008756478158442183,0.002540126955200425,16,0.0022052000276744366,0.4204843134263954,0.14591390355937608,0.12724971469664093,0.5966504742816179,0.9867138339924426,0.05054906118955804,2.2648669848636587,1.4038459807988335
1,0.009431759300213309,0.006387023475707103,35,0.0042461000848561525,0.3926737243735934,0.06426846606876528,0.4328169528340604,0.9257944657988855,0.8191556205432777,1.6904335143541775,0.8217170433943375,0.5330221790174066
1,0.00996739865856802,0.003315280105164867,32,0.0040403001476079226,0.27841949840030833,0.09154197860223122,2.369829267438888,0.382238369702002,0.9885528806946947,0.18013324773441708,2.2723760037416767,0.06740002341618423
1,0.00958327795659329,0.0023427318645498183,38,0.004487800179049373,0.4190816083790852,0.09313785961267947,1.8998470593178212,0.48853146284409954,0.9481047717968641,0.7376461003260063,1.4555191195827941,0.8989055347098134
0,0.26787161382381686,0.03977620262344671,1000,0.1068436000496149,1.2949199309727168e-16,4.0732764101047497e-17,0.3167954934709236,0.7701793375359376,0.0,0.16148876284803126,2.652588147846549,0.43952021448268397
0,0.2606477729064789,0.09119649937273785,1000,0.09772110008634627,1.723315055501698e-16,6.15020857585722e-17,2.199965826862373,0.35910244270418445,0.0,2.1020931515650187,0.5032490227170623,2.731960485545083
1,0.009893943205038475,0.009211639758633667,65,0.006210300140082836,0.35588436578519916,0.05213056785497691,0.40235961321853836,1.9550073945569313,0.9431739728619564,1.6149279809409416,0.44617748071021346,0.4762269458526971
1,0.009779281005953858,0.003606703462505003,128,0.014231499982997775,0.04835589705720185,0.05356831770279827,1.3863514812714097,1.4117325390827684,0.3069806210680336,0.42666146284289574,2.5951037578833827,2.1589908372950775
0,0.7380003773854603,0.013445870209776731,1000,0.10586929996497929,9.41737724151685e-17,3.4610379302540337e-17,1.368135379242323,0.28284163352592984,0.0,0.15724803048121583,0.7953955494455753,0.02897969028442438
0,0.5923501997262012,0.08203928257960878,1000,0.10206059995107353,3.688800972168432e-17,1.524960907333737e-17,1.5314394780760407,0.49993188245876485,0.0,0.44049856302006507,1.586078976934414,0.06438905633655924
1,0.00929559556013924,0.0023072621155272675,22,0.0030366000719368458,0.3224386366317,0.09357522586455236,1.4411977555942235,0.4468360786788832,0.9065502548572215,0.6956831280312539,2.0032134393825025,1.0032237123560317
0,0.4096331071427114,0.0378257960196023,1000,0.10122860013507307,2.6076729666001836e-17,1.3736937214166823e-17,1.9845339079215965,1.0884195246646362,0.0,0.27592566496984094,1.8820023553837948,1.5994743630930273
1,0.009716706259454358,0.005573738204589713,130,0.014430899871513247,0.38290577447404184,0.07944921242625705,3.0413188479478177,2.329921286036932,0.8339279720885449,1.3519336625404836,0.8617554964654275,1.2820551355726257
0,0.4628517655333975,0.1738226943197368,1000,0.10294679994694889,1.869854111267267e-18,3.816718500839214e-18,1.6081809096952728,1.3912431807939392,0.0,0.3124858049925665,1.9351547290679605,1.5775156325934496
1,0.009188441532530319,0.0072824556106760065,26,0.0039025000296533108,0.6760422029122949,0.0902087562835912,1.219149779630001,1.7656721356558853,0.939213750617174,1.2696041623211847,0.8965336585774963,0.29936387057509867
1,0.009783216158886717,0.003917483391136435,76,0.00834139995276928,0.20947625490828437,0.08457469059078533,2.63248368056115,1.245342713426222,0.4962559484427832,0.8982952177704373,1.114569470423712,1.5135735673279804
1,0.008137506656493166,0.004436638420841835,6,0.0008332000579684973,0.183052668597662,0.04319114299666386,0.045824539874474095,1.1908908730856054,0.5303081066602502,0.46100208266498033,0.7766317543589731,0.6506728470889782
1,0.008294755026604888,0.004513399105766295,24,0.0026785999070852995,0.537800357416716,0.1224102458983546,2.616019647818094,0.97823853068991,0.8767565819123286,0.43096515374565575,1.0035991318655277,1.6632338376613482
1,0.009909651472796672,0.004230092751107713,48,0.004897500155493617,0.2869570622376162,0.0622147115214277,1.8155690444020696,0.6838474111527892,0.6772196756272407,1.7247449361201572,1.7097800639986827,1.6124333822946013
0,0.34461052112240714,0.048705194129137576,1000,0.10632489994168282,3.725137590712896e-17,9.574549881777297e-18,0.7327525304935554,0.171517961544426,0.0,2.8849752167295057,1.998869586126224,2.429340899265263
1,0.009743959861195374,0.005105540364761648,424,0.04508860013447702,0.17350778855147625,0.0757173429098245,0.6439529489007465,1.2407880908619509,0.5332054917877151,0.5501511317233474,0.7011412314319081,1.4969314173866937
